timestamp,open,high,low,close,volume
1683331200000,29491.5,29840.0,28333.0,28837.8,475628.901
1683417600000,28837.9,29137.0,28370.0,28419.4,308410.643
1683504000000,28419.5,28624.6,27250.0,27659.8,658188.777
1683590400000,27659.8,27815.6,27316.8,27610.2,367664.686
1683676800000,27610.2,28297.0,26666.6,27582.9,722502.676
1683763200000,27583.0,27630.0,26688.8,26956.4,538822.363
1683849600000,26956.4,27090.0,25751.0,26785.1,615645.508
1683936000000,26785.2,27051.5,26674.9,26762.7,242694.929
1684022400000,26762.8,27200.0,26557.0,26901.9,247579.427
1684108800000,26901.9,27650.0,26694.4,27152.5,450263.076
1684195200000,27152.5,27284.7,26832.0,27024.8,373172.951
1684281600000,27024.7,27500.0,26527.5,27395.8,490065.218
1684368000000,27395.7,27482.7,26335.3,26809.3,544971.979
1684454400000,26809.4,27180.0,26611.2,26870.1,324097.956
1684540800000,26870.1,27144.4,26813.5,27089.5,137515.354
1684627200000,27089.6,27288.0,26642.0,26732.8,238776.425
1684713600000,26732.8,27097.8,26500.0,26840.2,328030.520
1684800000000,26840.2,27527.5,26782.6,27209.9,369176.618
1684886400000,27209.9,27212.9,26060.0,26313.8,535191.677
1684972800000,26313.9,26644.0,25850.0,26461.8,394535.225
1685059200000,26461.7,26925.0,26313.9,26689.9,324475.546
1685145600000,26689.8,26890.0,26528.6,26841.6,163681.935
1685232000000,26841.6,28252.8,26746.0,28055.7,440115.394
1685318400000,28055.8,28442.0,27513.5,27722.0,411290.549
1685404800000,27722.1,28038.6,27530.0,27680.1,334379.313
1685491200000,27680.0,27825.0,26826.0,27201.1,471381.890
1685577600000,27201.1,27347.9,26600.0,26805.3,404787.572
1685664000000,26805.3,27290.0,26477.6,27227.8,391110.093
1685750400000,27227.8,27340.2,26900.0,27054.9,182464.100
1685836800000,27054.9,27460.0,26935.3,27102.4,218271.544
1685923200000,27102.4,27125.0,25360.1,25714.7,700502.548
1686009600000,25714.6,27358.1,25321.6,27221.5,731445.649
1686096000000,27221.5,27394.4,26111.0,26325.9,660044.537
1686182400000,26325.9,26800.0,26195.4,26485.9,333104.839
1686268800000,26486.0,26775.0,26236.0,26468.1,283719.198
1686355200000,26468.2,26525.0,25300.0,25826.6,608917.569
1686441600000,25826.6,26199.0,25621.3,25909.9,279365.563
1686528000000,25910.0,26097.7,25600.0,25894.8,298900.468
1686614400000,25894.8,26430.5,25708.0,25918.0,434536.754
1686700800000,25918.0,26099.3,24796.8,25115.9,464681.602
1686787200000,25115.9,25750.0,24777.0,25586.1,473971.375
1686873600000,25586.0,26526.9,25142.1,26336.0,533144.956
1686960000000,26335.9,26900.0,26170.8,26508.9,305738.396
1687046400000,26508.8,26709.4,26230.9,26329.7,241977.484
1687132800000,26329.6,27077.0,26241.2,26828.5,400533.758
1687219200000,26828.6,28397.8,26633.9,28290.6,758176.297
1687305600000,28290.7,30822.0,28236.4,29988.5,1123474.427
1687392000000,29988.5,30488.0,29500.1,29875.0,561051.742
1687478400000,29875.0,31500.0,29792.0,30673.4,699073.071
1687564800000,30673.5,30796.5,30222.0,30524.2,279539.288
1687651200000,30524.2,31053.2,30252.6,30458.0,301533.154
1687737600000,30458.0,30667.3,29890.1,30260.1,415099.356
1687824000000,30260.1,30998.5,30213.0,30683.2,406073.348
1687910400000,30683.2,30701.8,29804.6,30066.3,416656.434
1687996800000,30066.3,30837.0,30036.1,30439.9,382072.846
1688083200000,30439.9,31300.0,29500.0,30460.2,809331.305
1688169600000,30460.2,30668.2,30311.3,30573.6,135520.246
1688256000000,30573.6,30800.0,30149.9,30612.7,231866.188
1688342400000,30612.7,31395.2,30559.4,31149.0,370293.236
1688428800000,31149.0,31319.4,30600.0,30756.1,300832.260
1688515200000,30756.1,30875.2,30175.8,30488.4,294896.578
1688601600000,30488.4,31568.0,29818.0,29874.4,721267.219
1688688000000,29874.3,30443.6,29680.0,30327.9,337801.654
1688774400000,30328.0,30380.0,30026.8,30269.3,138734.493
1688860800000,30269.2,30443.4,30042.0,30147.8,162296.263
1688947200000,30147.8,31040.0,29928.8,30396.9,429115.537
1689033600000,30396.9,30804.9,30261.4,30608.4,298904.747
1689120000000,30608.3,30980.5,30186.0,30368.9,425058.257
1689206400000,30368.9,31850.0,30233.0,31441.7,696023.510
1689292800000,31441.6,31640.0,29876.6,30293.3,538692.246
1689379200000,30293.3,30380.0,30220.2,30276.4,111622.474
1689465600000,30276.5,30441.6,30050.0,30216.8,173805.940
1689552000000,30216.9,30329.7,29630.0,30126.1,344113.427
1689638400000,30126.0,30227.5,29400.0,29845.6,337396.417
1689724800000,29845.7,30178.5,29745.0,29895.5,298418.854
1689811200000,29895.5,30420.0,29468.8,29791.0,410263.764
1689897600000,29791.0,30056.2,29705.9,29891.4,221145.074
1689984000000,29891.5,29986.0,29602.2,29783.5,143375.956
1690070400000,29783.5,30368.2,29718.9,30070.8,224713.846
1690156800000,30070.9,30091.7,28830.0,29163.8,434182.417
1690243200000,29163.8,29379.5,29033.0,29216.3,196438.618
1690329600000,29216.2,29670.5,29083.0,29336.0,318527.582
1690416000000,29336.0,29558.4,29065.5,29209.7,223376.534
1690502400000,29209.8,29535.7,29112.8,29299.9,221299.867
1690588800000,29300.0,29397.9,29237.5,29339.1,87100.719
1690675200000,29339.1,29442.5,29006.0,29271.1,169901.253
1690761600000,29271.2,29525.8,29100.0,29220.8,230381.722
1690848000000,29220.8,29735.0,28550.0,29701.2,442328.643
1690934400000,29701.2,30059.9,28906.3,29170.1,491725.492
1691020800000,29170.2,29440.0,28955.4,29180.2,251967.942
1691107200000,29180.1,29323.8,28780.0,29101.1,229395.673
1691193600000,29101.1,29145.0,28960.0,29057.7,82508.624
1691280000000,29057.7,29199.0,28978.5,29075.9,103094.440
1691366400000,29075.9,29274.5,28682.3,29202.7,297752.439
1691452800000,29202.7,30250.0,29132.4,29759.0,459269.801
1691539200000,29758.9,30149.7,29362.0,29572.8,362009.701
1691625600000,29572.9,29729.8,29303.7,29443.7,234546.038
1691712000000,29443.7,29565.1,29220.0,29415.5,179044.008
1691798400000,29415.5,29470.0,29360.0,29420.7,56238.035
1691884800000,29420.8,29463.0,29256.6,29293.3,84190.505
1691971200000,29293.3,29686.7,29070.0,29419.5,295035.383
1692057600000,29419.5,29492.1,29050.0,29188.8,191289.959
1692144000000,29188.9,29257.4,28705.1,28714.4,272023.138
1692230400000,28714.4,28775.9,24581.0,26609.7,868508.220
1692316800000,26609.7,26818.0,25600.0,26042.1,522375.316
1692403200000,26042.0,26269.4,25783.4,26088.3,202219.153
1692489600000,26088.4,26285.0,25948.5,26175.9,141089.850
1692576000000,26175.9,26280.0,25800.0,26115.4,232505.265
1692662400000,26115.4,26128.2,25280.0,26044.4,313113.576
1692748800000,26044.5,26806.0,25800.0,26419.2,412969.028
1692835200000,26419.2,26568.3,25835.0,26164.6,286753.337
1692921600000,26164.6,26300.0,25754.4,26051.7,274830.494
1693008000000,26051.7,26129.4,25969.0,26004.3,63925.862
1693094400000,26004.3,26173.6,25955.6,26087.7,86505.398
1693180800000,26087.6,26244.6,25850.4,26106.5,219992.051
1693267200000,26106.5,28168.0,25905.2,27700.1,700233.946
1693353600000,27700.1,27758.2,26950.0,27290.4,315313.916
1693440000000,27290.4,27674.3,25617.8,25928.0,502906.277
1693526400000,25928.0,26151.6,25312.0,25795.6,361184.924
1693612800000,25795.6,25975.0,25740.6,25855.8,107642.864
1693699200000,25855.8,26135.2,25777.0,25962.1,133016.832
1693785600000,25962.1,26099.3,25610.0,25814.0,173147.873
1693872000000,25814.0,25900.0,25531.2,25779.7,186639.945
1693958400000,25779.7,26052.0,25326.0,25747.4,251122.660
1694044800000,25747.4,26451.0,25602.3,26240.7,257349.902
1694131200000,26240.7,26437.5,25630.0,25899.8,249269.761
1694217600000,25899.9,25940.6,25781.5,25892.6,67909.810
1694304000000,25892.6,26037.3,25508.7,25828.4,162972.413
1694390400000,25828.4,25895.0,24888.0,25150.4,427216.374
1694476800000,25150.4,26580.0,25116.4,25825.8,592049.678
1694563200000,25825.8,26400.0,25750.0,26209.9,335252.718
1694649600000,26209.9,26880.0,26106.6,26510.3,380666.471
1694736000000,26510.3,26890.0,26206.6,26591.1,251656.770
1694822400000,26591.1,26763.5,26430.0,26546.9,140482.465
1694908800000,26547.0,26614.3,26377.4,26514.2,114239.394
1694995200000,26514.2,27397.0,26358.6,26749.9,472539.032
1695081600000,26749.9,27480.0,26653.2,27196.0,433511.747
1695168000000,27195.9,27381.0,26740.0,27107.7,348921.447
1695254400000,27107.7,27149.0,26360.1,26552.6,317992.869
1695340800000,26552.6,26737.7,26452.9,26566.7,173534.648
1695427200000,26566.7,26620.6,26492.2,26563.1,57836.484
1695513600000,26563.0,26739.9,26081.0,26232.4,146632.773
1695600000000,26232.4,26440.0,25965.0,26290.5,268385.836
1695686400000,26290.5,26388.0,26073.8,26208.8,180491.169
1695772800000,26208.7,26849.9,26050.0,26359.6,353002.840
1695859200000,26359.6,27308.7,26325.2,27011.8,429587.858
1695945600000,27011.7,27231.5,26625.0,26890.9,277397.643
1696032000000,26890.9,27085.0,26870.4,26950.9,92317.154
1696118400000,26951.0,28365.2,26939.0,27981.4,240382.946
1696204800000,27981.4,28613.0,27255.0,27477.6,593277.720
1696291200000,27477.7,27665.0,27123.0,27412.0,283077.899
1696377600000,27412.0,27830.0,27163.9,27759.8,280784.322
1696464000000,27759.7,28110.0,27333.5,27398.4,370190.087
1696550400000,27398.3,28450.0,27156.0,27916.3,438445.904
1696636800000,27916.3,28018.7,27822.1,27943.0,117049.145
1696723200000,27943.0,28082.0,27671.0,27901.2,178380.307
1696809600000,27901.2,27977.0,27250.0,27578.3,314316.581
1696896000000,27578.4,27727.3,27281.0,27381.2,239779.496
1696982400000,27381.3,27467.6,26525.0,26864.5,388186.571
1697068800000,26864.5,26939.0,26534.8,26744.0,220279.040
1697155200000,26744.0,27120.8,26670.1,26849.8,243222.154
1697241600000,26849.7,26986.4,26773.1,26836.3,82164.781
1697328000000,26836.4,27456.1,26790.4,27139.8,160000.462
1697414400000,27139.8,30720.0,27095.4,28486.3,823003.782
1697500800000,28486.3,28605.0,28055.0,28381.9,314189.758
1697587200000,28382.0,29100.0,28126.6,28307.1,297176.628
1697673600000,28307.2,28933.4,28076.0,28696.9,333673.207
1697760000000,28697.0,30243.0,28560.0,29653.0,551005.327
1697846400000,29653.0,30374.6,29443.5,29895.4,258195.956
1697932800000,29895.4,30229.7,29606.6,29981.5,198602.758
1698019200000,29981.4,35981.9,29869.4,33074.0,987741.536
1698105600000,33074.0,35300.0,32833.5,33917.0,921993.063
1698192000000,33917.0,35154.3,33660.6,34487.7,465367.144
1698278400000,34487.8,34828.7,33750.0,34154.0,339552.964
1698364800000,34154.0,34253.3,33350.0,33893.1,278052.978
1698451200000,33893.2,34535.8,33867.4,34086.6,138314.932
1698537600000,34086.7,34773.8,33933.0,34528.6,175897.550
1698624000000,34528.6,34888.2,34050.0,34483.8,281841.348
1698710400000,34483.8,34744.7,34016.8,34651.4,272450.567
1698796800000,34651.4,35734.0,34076.0,35437.4,469214.787
1698883200000,35437.5,35999.9,34300.0,34940.1,410221.727
1698969600000,34940.1,34944.9,34123.0,34700.4,306048.199
1699056000000,34700.5,35270.0,34571.6,35069.7,140746.874
1699142400000,35069.7,35455.2,34356.0,35025.5,231363.339
1699228800000,35025.5,35299.9,34743.2,35057.4,202227.215
1699315200000,35057.5,35921.7,34520.3,35406.5,343525.950
1699401600000,35406.5,36150.0,35073.0,35626.7,334779.449
1699488000000,35626.7,38499.9,35304.0,36719.5,778877.937
1699574400000,36719.6,37570.0,36350.0,37330.4,299373.892
1699660800000,37330.3,37422.2,36588.0,37162.1,159239.284
1699747200000,37162.1,37258.4,36753.6,37085.5,118890.045
1699833600000,37085.6,37464.8,36350.0,36486.2,257075.648
1699920000000,36486.2,36779.9,34446.3,35559.0,397265.800
1700006400000,35559.1,38000.0,35388.0,37885.6,423818.570
1700092800000,37885.5,37956.5,35486.1,36176.0,434444.366
1700179200000,36176.0,37020.5,35868.3,36621.9,319943.051
1700265600000,36621.9,36900.0,36196.0,36580.9,121720.922
1700352000000,36580.9,37528.2,36380.0,37375.9,154713.007
1700438400000,37375.8,37784.7,36600.0,37462.5,310504.037
1700524800000,37462.6,37675.0,35720.0,35737.0,450731.160
1700611200000,35737.0,37880.0,35610.7,37413.4,338189.618
1700697600000,37413.5,37650.0,36856.3,37294.3,185369.931
1700784000000,37294.4,38425.0,37257.3,37706.3,351031.723
