,date,funding_rate
0,2023-05-07,0.00014414
1,2023-05-08,5.029e-05
2,2023-05-09,0.00012329
3,2023-05-10,0.00012329
4,2023-05-11,0.00013729
5,2023-05-12,0.00010359
6,2023-05-13,9.868999999999999e-05
7,2023-05-14,8.291e-05
8,2023-05-15,2.6410000000000003e-05
9,2023-05-16,0.00017625
10,2023-05-17,0.00019882
11,2023-05-18,0.00028342
12,2023-05-19,0.00011005
13,2023-05-20,6.919e-05
14,2023-05-21,0.00017109
15,2023-05-22,7.999e-05
16,2023-05-23,0.00030000000000000003
17,2023-05-24,0.00016429
18,2023-05-25,0.0002582
19,2023-05-26,0.00024536
20,2023-05-27,0.00023072000000000001
21,2023-05-28,0.0002988
22,2023-05-29,0.00030000000000000003
23,2023-05-30,0.00019084
24,2023-05-31,0.00015073000000000002
25,2023-06-01,0.00021737
26,2023-06-02,0.00023982
27,2023-06-03,0.00022986
28,2023-06-04,0.0002485
29,2023-06-05,0.00027393999999999997
30,2023-06-06,-5.9159999999999996e-05
31,2023-06-07,0.00024005
32,2023-06-08,0.00012605
33,2023-06-09,0.00018908
34,2023-06-10,0.00014973
35,2023-06-11,0.00013571999999999998
36,2023-06-12,0.00015349
37,2023-06-13,0.00022683000000000002
38,2023-06-14,8.815e-05
39,2023-06-15,9.615e-05
40,2023-06-16,4.988e-05
41,2023-06-17,0.00027411
42,2023-06-18,0.00018644
43,2023-06-19,0.00017127
44,2023-06-20,1.3049999999999999e-05
45,2023-06-21,0.00018846
46,2023-06-22,0.00029236
47,2023-06-23,0.00030000000000000003
48,2023-06-24,0.00030000000000000003
49,2023-06-25,0.00030000000000000003
50,2023-06-26,0.00030000000000000003
51,2023-06-27,0.00030000000000000003
52,2023-06-28,0.000239
53,2023-06-29,0.00025874000000000003
54,2023-06-30,0.00030000000000000003
55,2023-07-01,0.00030000000000000003
56,2023-07-02,0.00030000000000000003
57,2023-07-03,0.00030000000000000003
58,2023-07-04,0.00030000000000000003
59,2023-07-05,0.00030000000000000003
60,2023-07-06,0.00019212
61,2023-07-07,4.2609999999999994e-05
62,2023-07-08,8.074e-05
63,2023-07-09,0.00018680999999999998
64,2023-07-10,5.663e-05
65,2023-07-11,0.00020229
66,2023-07-12,0.0001817
67,2023-07-13,5.514e-05
68,2023-07-14,0.00030000000000000003
69,2023-07-15,-1.3220000000000002e-05
70,2023-07-16,0.00014348
71,2023-07-17,0.00015324000000000002
72,2023-07-18,0.00018258
73,2023-07-19,0.00022914000000000002
74,2023-07-20,0.00017856
75,2023-07-21,7.371e-05
76,2023-07-22,3.316e-05
77,2023-07-23,0.0002228
78,2023-07-24,0.00024338000000000002
79,2023-07-25,0.0002408
80,2023-07-26,0.00025219
81,2023-07-27,9.842e-05
82,2023-07-28,0.00021048
83,2023-07-29,0.00022097000000000002
84,2023-07-30,0.00018068
85,2023-07-31,0.0001797
86,2023-08-01,0.00023068
87,2023-08-02,0.00030000000000000003
88,2023-08-03,0.00030000000000000003
89,2023-08-04,0.00028116
90,2023-08-05,0.00024181000000000002
91,2023-08-06,0.00030000000000000003
92,2023-08-07,0.00027669
93,2023-08-08,0.0002508
94,2023-08-09,0.00026514
95,2023-08-10,0.00028277
96,2023-08-11,0.00027123
97,2023-08-12,0.00029305
98,2023-08-13,0.00024637
99,2023-08-14,0.00030000000000000003
100,2023-08-15,0.00030000000000000003
101,2023-08-16,0.00030000000000000003
102,2023-08-17,0.00030000000000000003
103,2023-08-18,0.0001512
104,2023-08-19,-5.8819999999999996e-05
105,2023-08-20,-7.626e-05
106,2023-08-21,-3.6e-05
107,2023-08-22,8.12e-06
108,2023-08-23,2.9659999999999997e-05
109,2023-08-24,4.5839999999999995e-05
110,2023-08-25,7.361e-05
111,2023-08-26,0.0001125
112,2023-08-27,5.3070000000000005e-05
113,2023-08-28,8.553e-05
114,2023-08-29,-6.340999999999999e-05
115,2023-08-30,0.00014543
116,2023-08-31,0.00017873000000000002
117,2023-09-01,0.00014805
118,2023-09-02,4.917e-05
119,2023-09-03,7.964e-05
120,2023-09-04,3.1e-05
121,2023-09-05,5.394e-05
122,2023-09-06,1.109e-05
123,2023-09-07,0.00014637
124,2023-09-08,-2.704e-05
125,2023-09-09,-4.011e-05
126,2023-09-10,5.8299999999999994e-05
127,2023-09-11,3.361e-05
128,2023-09-12,4.653e-05
129,2023-09-13,6.701e-05
130,2023-09-14,-8.590000000000004e-06
131,2023-09-15,4.159e-05
132,2023-09-16,-8.862e-05
133,2023-09-17,2.688e-05
134,2023-09-18,-6.703e-05
135,2023-09-19,-1.2600000000000001e-05
136,2023-09-20,-7.382000000000001e-05
137,2023-09-21,0.00011703
138,2023-09-22,3.1079999999999994e-05
139,2023-09-23,8.441e-05
140,2023-09-24,6.215999999999999e-05
141,2023-09-25,0.00012097
142,2023-09-26,5.009999999999994e-06
143,2023-09-27,0.00015396
144,2023-09-28,-5.639e-05
145,2023-09-29,-5.9850000000000005e-05
146,2023-09-30,4.032e-05
147,2023-10-01,-2.5869999999999998e-05
148,2023-10-02,5.0820000000000005e-05
149,2023-10-03,8.339e-05
150,2023-10-04,9.374000000000001e-05
151,2023-10-05,-0.00010376999999999999
152,2023-10-06,-2.819e-05
153,2023-10-07,7.056e-05
154,2023-10-08,6.451e-05
155,2023-10-09,0.00015345000000000002
156,2023-10-10,0.00012791000000000001
157,2023-10-11,0.00020567
158,2023-10-12,0.00019965
159,2023-10-13,6.659e-05
160,2023-10-14,4.772e-05
161,2023-10-15,5.007e-05
162,2023-10-16,0.00010183
163,2023-10-17,-6.140000000000002e-06
164,2023-10-18,-2.9149999999999997e-05
165,2023-10-19,-0.00012658
166,2023-10-20,-4.647000000000001e-05
167,2023-10-21,8.616e-05
168,2023-10-22,8.261e-05
169,2023-10-23,0.00018488
170,2023-10-24,0.00030000000000000003
171,2023-10-25,0.00030000000000000003
172,2023-10-26,0.00030000000000000003
173,2023-10-27,0.00030000000000000003
174,2023-10-28,0.00030000000000000003
175,2023-10-29,0.00030000000000000003
176,2023-10-30,0.00030000000000000003
177,2023-10-31,0.00030000000000000003
178,2023-11-01,0.00030000000000000003
179,2023-11-02,0.00030000000000000003
180,2023-11-03,0.00030000000000000003
181,2023-11-04,0.00030000000000000003
182,2023-11-05,0.00030000000000000003
183,2023-11-06,0.00030000000000000003
184,2023-11-07,0.00030000000000000003
185,2023-11-08,0.00030000000000000003
186,2023-11-09,0.00040027
187,2023-11-10,0.00031682
188,2023-11-11,0.00041254999999999997
189,2023-11-12,0.00066138
190,2023-11-13,0.0006385200000000001
191,2023-11-14,0.00048228
192,2023-11-15,0.00030000000000000003
193,2023-11-16,0.00037213000000000003
194,2023-11-17,0.00030000000000000003
195,2023-11-18,0.00030000000000000003
196,2023-11-19,0.00030000000000000003
197,2023-11-20,0.00030000000000000003
198,2023-11-21,0.00030000000000000003
199,2023-11-22,0.00030000000000000003
200,2023-11-23,0.00030000000000000003
201,2023-11-24,0.00030000000000000003
202,2023-11-25,0.00030000000000000003
203,2023-11-26,0.00030000000000000003
204,2023-11-27,0.00030000000000000003
205,2023-11-28,0.00030000000000000003
206,2023-11-29,0.00030000000000000003
207,2023-11-30,0.00030000000000000003
208,2023-12-01,0.00030000000000000003
209,2023-12-02,0.00025464
