timestamp,close,volume
1683331200000,28848.2,49249.28459000
1683417600000,28430.1,30003.41028000
1683504000000,27668.79,68244.36179000
1683590400000,27628.27,40113.31069000
1683676800000,27598.75,71155.11355000
1683763200000,26968.62,47635.31365000
1683849600000,26795.01,67207.93494000
1683936000000,26775.28,22814.90421000
1684022400000,26917.62,21594.80360000
1684108800000,27162.14,40430.08333000
1684195200000,27033.84,33270.45451000
1684281600000,27405.61,42958.97785000
1684368000000,26821.28,49198.65143000
1684454400000,26880.26,28754.13544000
1684540800000,27102.43,14434.54718000
1684627200000,26747.78,21347.87279000
1684713600000,26849.27,26458.83828000
1684800000000,27219.61,38700.83858000
1684886400000,26329.01,54393.06570000
1684972800000,26473.79,37435.44895000
1685059200000,26705.92,35061.18713000
1685145600000,26854.27,15095.68670000
1685232000000,28065.0,43916.00855000
1685318400000,27736.4,42385.41945000
1685404800000,27694.4,32686.75371000
1685491200000,27210.35,46588.80573000
1685577600000,26817.93,39217.80880000
1685664000000,27242.59,36380.90269000
1685750400000,27069.22,16595.34117000
1685836800000,27115.21,19258.41049000
1685923200000,25728.2,65805.60305000
1686009600000,27230.08,68392.60438000
1686096000000,26339.34,59619.44364000
1686182400000,26498.61,31075.51083000
1686268800000,26477.81,27934.70970000
1686355200000,25841.21,64944.60108000
1686441600000,25925.55,30014.29595000
1686528000000,25905.19,29900.50893000
1686614400000,25934.25,41065.60853000
1686700800000,25128.6,45077.31608000
1686787200000,25598.49,48664.86063000
1686873600000,26345.0,51596.91662000
1686960000000,26516.99,27842.21950000
1687046400000,26339.97,21538.31022000
1687132800000,26844.35,35872.65974000
1687219200000,28307.99,69666.95525000
1687305600000,29993.89,108926.40412000
1687392000000,29884.92,59054.56460000
1687478400000,30688.5,73931.89635000
1687564800000,30527.43,30513.30135000
1687651200000,30462.66,30223.44801000
1687737600000,30267.99,45180.41489000
1687824000000,30692.44,42699.64157000
1687910400000,30077.41,40463.51937000
1687996800000,30447.31,36330.62903000
1688083200000,30472.0,89419.07618000
1688169600000,30585.9,17501.75075000
1688256000000,30617.03,23286.41019000
1688342400000,31156.2,43761.64311000
1688428800000,30766.51,33206.11943000
1688515200000,30504.81,33215.67122000
1688601600000,29895.43,71319.62610000
1688688000000,30344.7,34070.53895000
1688774400000,30284.63,13094.59042000
1688860800000,30160.71,15388.50196000
1688947200000,30411.57,41262.87652000
1689033600000,30622.1,28476.83311000
1689120000000,30380.0,38108.99669000
1689206400000,31454.23,70772.51836000
1689292800000,30312.01,60749.48424000
1689379200000,30289.52,14118.55329000
1689465600000,30231.99,15760.12810000
1689552000000,30138.0,30882.76839000
1689638400000,29859.13,30003.86010000
1689724800000,29909.21,25657.36137000
1689811200000,29800.0,37540.68193000
1689897600000,29901.72,23881.40865000
1689984000000,29794.0,14660.40467000
1690070400000,30083.75,18292.78637000
1690156800000,29176.5,39628.99691000
1690243200000,29228.91,21565.74780000
1690329600000,29351.96,33931.63366000
1690416000000,29222.78,22476.47626000
1690502400000,29314.14,23993.61627000
1690588800000,29352.9,10851.36844000
1690675200000,29281.09,15706.97441000
1690761600000,29232.25,22605.48964000
1690848000000,29705.99,44719.65162000
1690934400000,29186.01,48181.65141000
1691020800000,29193.64,26476.91994000
1691107200000,29113.99,23551.95217000
1691193600000,29072.13,11645.52018000
1691280000000,29088.42,13178.19720000
1691366400000,29211.06,30966.87746000
1691452800000,29770.42,45700.53392000
1691539200000,29581.99,38003.88725000
1691625600000,29455.75,23463.45373000
1691712000000,29426.03,20637.04430000
1691798400000,29430.17,8971.48068000
1691884800000,29303.84,11101.70947000
1691971200000,29430.93,31443.11532000
1692057600000,29200.0,27503.87691000
1692144000000,28730.51,32996.69854000
1692230400000,26623.41,100271.54033000
1692316800000,26054.0,69790.65711000
1692403200000,26100.01,26160.75343000
1692489600000,26189.99,19056.91209000
1692576000000,26126.92,30267.24233000
1692662400000,26056.0,34247.06688000
1692748800000,26432.72,44023.69978000
1692835200000,26180.05,30205.22116000
1692921600000,26060.01,27753.33772000
1693008000000,26017.37,10022.22322000
1693094400000,26101.77,12099.64216000
1693180800000,26120.0,22692.62655000
1693267200000,27716.34,74251.99488000
1693353600000,27299.99,35448.25848000
1693440000000,25940.78,51032.80401000
1693526400000,25805.05,41032.15056000
1693612800000,25869.51,16250.77698000
1693699200000,25971.21,17474.47667000
1693785600000,25826.02,21777.59609000
1693872000000,25792.1,21323.39337000
1693958400000,25759.95,27262.52386000
1694044800000,26255.0,27687.49567000
1694131200000,25910.5,28999.76471000
1694217600000,25901.61,10980.62277000
1694304000000,25841.61,18738.26914000
1694390400000,25162.52,41682.32000000
1694476800000,25840.1,56434.38537000
1694563200000,26222.0,31610.82753000
1694649600000,26522.73,38333.17250000
1694736000000,26600.0,26227.29369000
1694822400000,26559.67,13960.93351000
1694908800000,26527.51,12998.10277000
1694995200000,26762.51,43000.43256000
1695081600000,27210.26,36190.52187000
1695168000000,27125.0,34207.21867000
1695254400000,26568.08,34476.82662000
1695340800000,26580.14,18198.22920000
1695427200000,26575.96,9440.70260000
1695513600000,26248.38,15706.65771000
1695600000000,26304.81,26266.20390000
1695686400000,26221.67,18495.35066000
1695772800000,26372.99,34771.57978000
1695859200000,27021.39,44517.83491000
1695945600000,26906.96,28478.76219000
1696032000000,26962.56,12804.62307000
1696118400000,27992.57,24602.81468000
1696204800000,27494.51,57071.14241000
1696291200000,27426.46,28928.96555000
1696377600000,27778.57,29816.14200000
1696464000000,27410.39,30681.49619000
1696550400000,27931.09,37983.24277000
1696636800000,27956.67,13348.83825000
1696723200000,27917.05,19693.56921000
1696809600000,27590.12,31534.74639000
1696896000000,27390.12,22776.84383000
1696982400000,26875.52,37349.44706000
1697068800000,26759.63,23428.64112000
1697155200000,26862.0,24115.76499000
1697241600000,26852.48,10417.25576000
1697328000000,27154.15,15274.69170000
1697414400000,28500.78,78399.22445000
1697500800000,28395.91,38428.44532000
1697587200000,28320.0,32162.47591000
1697673600000,28713.71,35895.50179000
1697760000000,29669.04,59422.09920000
1697846400000,29909.8,27517.51897000
1697932800000,29992.46,22852.54563000
1698019200000,33069.99,93513.64246000
1698105600000,33922.73,115265.02418000
1698192000000,34496.05,54887.02529000
1698278400000,34151.66,39744.66255000
1698364800000,33892.02,32330.40106000
1698451200000,34081.0,16880.13144000
1698537600000,34525.89,20685.52176000
1698624000000,34474.73,33657.95976000
1698710400000,34639.77,32737.89822000
1698796800000,35421.43,53473.28165000
1698883200000,34941.59,48015.57732000
1698969600000,34716.78,39071.20644000
1699056000000,35062.07,18377.55545000
1699142400000,35011.88,24528.73376000
1699228800000,35046.09,22346.47086000
1699315200000,35399.12,38688.73692000
1699401600000,35624.72,33401.34137000
1699488000000,36701.09,82537.88885000
1699574400000,37301.63,43414.04898000
1699660800000,37130.0,22984.97235000
1699747200000,37064.13,17687.18874000
1699833600000,36462.93,32798.18252000
1699920000000,35551.19,45503.68416000
1700006400000,37858.2,53569.13385000
1700092800000,36163.51,47490.39566000
1700179200000,36613.92,38283.61112000
1700265600000,36568.1,17102.24186000
1700352000000,37359.86,21246.34648000
1700438400000,37448.78,36022.70291000
1700524800000,35741.65,47646.54804000
1700611200000,37408.34,45051.30697000
1700697600000,37294.28,23827.92882000
1700784000000,37713.57,44680.80646000
1700870400000,37780.67,11396.14464000
1700956800000,37447.43,21264.53723000
1701043200000,37242.7,30001.07376000
1701129600000,37818.87,37544.46667000
1701216000000,37854.64,32994.19107000
1701302400000,37723.96,24740.29147000
1701388800000,38682.52,43415.66324000
1701475200000,39450.35,26696.92161000
1701561600000,39972.26,26710.65335000
1701648000000,41991.1,79272.33059000
1701734400000,44073.32,67490.74644000
1701820800000,43762.69,51431.10492000
1701907200000,43273.14,47103.26845000
1701993600000,44170.99,42900.37556000
1702080000000,43713.6,24925.97008000
1702166400000,43789.51,18956.61758000
1702252800000,41253.4,76663.89804000
1702339200000,41492.39,42722.69773000
1702425600000,42869.03,45865.99773000
1702512000000,43022.26,42047.05709000
1702598400000,41940.3,33421.79320000
1702684800000,42278.03,24118.85747000
1702771200000,41374.65,27722.11452000
1702857600000,42657.8,46734.09250000
1702944000000,42275.99,40927.86444000
1703030400000,43668.93,48710.29470000
1703116800000,43861.8,34624.29384000
1703203200000,43969.04,32783.19638000
1703289600000,43702.16,16557.12930000
1703376000000,42991.5,25144.33496000
1703462400000,43576.13,27021.23992000
1703548800000,42508.93,41010.04282000
1703635200000,43428.85,36191.21136000
1703721600000,42563.76,35150.52485000
1703808000000,42066.95,42597.18912000
1703894400000,42140.28,22906.57818000
1703980800000,42283.58,23585.91603000
1704067200000,44179.55,27174.29903000
1704153600000,44946.91,65146.40661000
1704240000000,42845.23,81194.55173000
1704326400000,44151.1,48038.06334000
1704412800000,44145.11,48075.25327000
