timestamp,spot_price,future_price,funding_rate,basis,spread,basis_lag,deviations,ou_forecast,residuals,ou_zscore,positions,basis_returns,strategy_returns,funding_pnl,total_returns,equity
2023-05-07,28430.1,28419.4,0.00014414,-0.00037636167301546917,-10.69999999999709,-0.0003605077613161811,-0.0001249977469024791,-0.00034939473838609803,-2.6966934629371142e-05,-0.7103722636574317,0,,,0.0,,
2023-05-08,27668.79,27659.8,5.029e-05,-0.00032491482280221144,-8.9900000000016,-0.00037636167301546917,-7.355089668922138e-05,-0.00036363440514046826,3.871958233825682e-05,-0.4179956700813127,0,5.144685021325773e-05,0.0,0.0,0.0,10000.0
2023-05-09,27628.27,27610.2,0.00012329,-0.0006540402276363923,-18.06999999999971,-0.00032491482280221144,-0.00040267630152340225,-0.00031742587209863943,-0.0003366143555377529,-2.288441855336422,1,-0.00032912540483418087,-0.0,0.0,-0.0,10000.0
2023-05-10,27598.75,27582.9,0.00012329,-0.0005743013723447093,-15.849999999998545,-0.0006540402276363923,-0.0003229374462317192,-0.0006130397353603084,3.87383630155991e-05,-1.8352795181048709,1,7.973885529168306e-05,0.0,0.0,0.0,10000.0
2023-05-11,26968.62,26956.4,0.00013729,-0.0004531192178167636,-12.219999999997526,-0.0005743013723447093,-0.00020175529170377352,-0.0005414198885827146,8.830067076595101e-05,-1.1465915732408494,1,0.00012118215452794568,0.0,0.0,0.0,10000.0
2023-05-12,26795.01,26785.1,0.00010359,-0.0003698449823306599,-9.909999999999854,-0.0004531192178167636,-0.00011848105621766982,-0.000432576498397059,6.27315160663991e-05,-0.6733373856053101,1,8.32742354861037e-05,0.0,0.0,0.0,10000.0
2023-05-13,26775.28,26762.7,9.869e-05,-0.0004698363565198238,-12.579999999998108,-0.0003698449823306599,-0.00021847243040683375,-0.00035778124375966154,-0.00011205511276016227,-1.241596418981254,1,-9.999137418916393e-05,-0.0,0.0,-0.0,10000.0
2023-05-14,26917.62,26901.9,8.291e-05,-0.0005840040835704466,-15.719999999997526,-0.0004698363565198238,-0.00033264015745745656,-0.00044759149840042423,-0.0001364125851700224,-1.890420807510822,1,-0.00011416772705062281,-0.0,0.0,-0.0,10000.0
2023-05-15,27162.14,27152.5,2.6410000000000003e-05,-0.00035490576221164523,-9.639999999999418,-0.0005840040835704466,-0.00010354183609865517,-0.0005501346699621637,0.0001952289077505185,-0.5884365943814436,1,0.0002290983213588014,0.0,0.0,0.0,10000.0
2023-05-16,27033.84,27024.8,0.00017625,-0.00033439570553058217,-9.040000000000873,-0.00035490576221164523,-8.303177941759211e-05,-0.00034436313470872593,9.967429178143756e-06,-0.4718762902694338,1,2.051005668106306e-05,0.0,0.0,0.0,10000.0
2023-05-17,27405.61,27395.8,0.00019882,-0.00035795590756787786,-9.81000000000131,-0.00033439570553058217,-0.0001065919814548878,-0.0003259414115535063,-3.201449601437158e-05,-0.6057708161165092,1,-2.356020203729569e-05,-0.0,0.0,-0.0,10000.0
2023-05-18,26821.28,26809.3,0.00028342,-0.0004466602637905262,-11.979999999999563,-0.00035795590756787786,-0.00019529633767753613,-0.00034710271433102777,-9.955754945949842e-05,-1.1098848172698221,1,-8.870435622264833e-05,-0.0,0.0,-0.0,10000.0
2023-05-19,26880.26,26870.1,0.00011005,-0.0003779725344918485,-10.159999999999854,-0.0004466602637905262,-0.00012660860837885842,-0.0004267751949295023,4.880266043765381e-05,-0.7195269191753978,1,6.868772929867771e-05,0.0,0.0,0.0,10000.0
2023-05-20,27102.43,27089.5,6.919e-05,-0.0004770789925479114,-12.930000000000291,-0.0003779725344918485,-0.00022571506643492134,-0.00036508124873630614,-0.00011199774381160526,-1.2827569028908836,1,-9.910645805606292e-05,-0.0,0.0,-0.0,10000.0
2023-05-21,26747.78,26732.8,0.00017109,-0.0005600464786236302,-14.979999999999563,-0.0004770789925479114,-0.00030868255251064017,-0.0004540966893854222,-0.00010594978923820803,-1.7542678089199097,1,-8.296748607571883e-05,-0.0,0.0,-0.0,10000.0
2023-05-22,26849.27,26840.2,7.999e-05,-0.0003378117915310066,-9.069999999999709,-0.0005600464786236302,-8.644786541801651e-05,-0.0005286164278307385,0.0001908046362997319,-0.4912901821603269,1,0.00022223468709262366,0.0,0.0,0.0,10000.0
2023-05-23,27219.61,27209.9,0.0003,-0.00035672810888911073,-9.709999999999127,-0.0003378117915310066,-0.00010536418277612067,-0.00032900967175155554,-2.7718437137555193e-05,-0.5987931373313716,1,-1.8916317358104158e-05,-0.0,0.0,-0.0,10000.0
2023-05-24,26329.01,26313.8,0.00016429,-0.0005776897802081859,-15.209999999999127,-0.00035672810888911073,-0.0003263258540951958,-0.0003459999300870683,-0.00023168985012111758,-1.8545361129141393,1,-0.00022096167131907513,-0.0,0.0,-0.0,10000.0
2023-05-25,26473.79,26461.8,0.0002582,-0.00045290077469080175,-11.9900000000016,-0.0005776897802081859,-0.00020153684857781169,-0.000544463288831119,9.156251414031724e-05,-1.1453501433613895,1,0.00012478900551738412,0.0,0.0,0.0,10000.0
2023-05-26,26705.92,26689.9,0.00024536,-0.0005998669957820887,-16.0199999999968,-0.00045290077469080175,-0.0003485030696690987,-0.00043238029714543863,-0.0001674866986366501,-1.980571015296366,1,-0.000146966221091287,-0.0,0.0,-0.0,10000.0
2023-05-27,26854.27,26841.6,0.00023072,-0.0004718057873106173,-12.670000000001892,-0.0005998669957820887,-0.00022044186119762725,-0.0005643824207969155,9.257663348629822e-05,-1.252788852794194,1,0.00012806120847147143,0.0,0.0,0.0,10000.0
2023-05-28,28065.0,28055.7,0.0002988,-0.00033137359700692224,-9.299999999999272,-0.0004718057873106173,-8.000967089393218e-05,-0.0004493604017908698,0.00011798680478394754,-0.4547014041121206,1,0.00014043219030369507,0.0,0.0,0.0,10000.0
2023-05-29,27736.4,27722.0,0.0003,-0.0005191733606380589,-14.400000000001455,-0.00033137359700692224,-0.0002678094345250688,-0.0003232270140540935,-0.00019594634658396537,-1.5219825872606723,1,-0.00018779976363113662,-0.0,0.0,-0.0,10000.0
2023-05-30,27694.4,27680.1,0.00019084,-0.0005163498757872678,-14.30000000000291,-0.0005191733606380589,-0.0002649859496742778,-0.0004919050098308055,-2.4444865956462338e-05,-1.5059364954345236,1,2.823484850791023e-06,0.0,0.0,0.0,10000.0
2023-05-31,27210.35,27201.1,0.00015073,-0.0003399441756537494,-9.25,-0.0005163498757872678,-8.858024954075936e-05,-0.0004893690121462037,0.00014942483649245424,-0.5034086928838987,1,0.0001764057001335184,0.0,0.0,0.0,10000.0
2023-06-01,26817.93,26805.3,0.00021737,-0.00047095357471665483,-12.630000000001019,-0.0003399441756537494,-0.00021958964860366477,-0.0003309249365692303,-0.00014002863814742455,-1.247945659980784,1,-0.0001310093990629054,-0.0,0.0,-0.0,10000.0
2023-06-02,27242.59,27227.8,0.00023982,-0.0005428999225110708,-14.790000000000873,-0.00047095357471665483,-0.00029153599639808074,-0.00044859496146471684,-9.430496104635396e-05,-1.6568225494536655,1,-7.194634779441597e-05,-0.0,0.0,-0.0,10000.0
2023-06-03,27069.22,27054.9,0.00022986,-0.0005290141348734728,-14.319999999999709,-0.0005428999225110708,-0.00027765020876048275,-0.0005132157336891834,-1.5798401184289376e-05,-1.5779084998709747,1,1.3885787637597986e-05,0.0,0.0,0.0,10000.0
2023-06-04,27115.21,27102.4,0.0002485,-0.00047242857422080344,-12.809999999997672,-0.0005290141348734728,-0.00022106464810781338,-0.0005007437966472843,2.8315222426480828e-05,-1.2563282009674879,1,5.6585560652669365e-05,0.0,0.0,0.0,10000.0
2023-06-05,25728.2,25714.7,0.0002739399999999,-0.0005247160703041798,-13.5,-0.00047242857422080344,-0.0002733521441911898,-0.000449919776551386,-7.479629375279387e-05,-1.5534822527337642,1,-5.22874960833764e-05,-0.0,0.0,-0.0,10000.0
2023-06-06,27230.08,27221.5,-5.916e-05,-0.00031509272099096826,-8.580000000001746,-0.0005247160703041798,-6.37287948779782e-05,-0.0004968833609190946,0.0001817906399281263,-0.3621758743615533,1,0.00020962334931321158,0.0,-0.0,0.0,10000.0
2023-06-07,26339.34,26325.9,0.00024005,-0.0005102633551181878,-13.43999999999869,-0.00031509272099096826,-0.0002588994290051978,-0.0003086038564805078,-0.00020165949863768006,-1.4713463082300664,1,-0.00019517063412721958,-0.0,0.0,-0.0,10000.0
2023-06-08,26498.61,26485.9,0.00012605,-0.00047964780039402546,-12.709999999999127,-0.0005102633551181878,-0.0002282838742810354,-0.00048390222087946677,4.25442048544131e-06,-1.297355644786357,1,3.061555472416239e-05,0.0,0.0,0.0,10000.0
2023-06-09,26477.81,26468.1,0.00018908,-0.0003667221722643513,-9.710000000002765,-0.00047964780039402546,-0.00011535824615136126,-0.0004564039412724324,8.96817690080811e-05,-0.6555902044700649,1,0.00011292562812967414,0.0,0.0,0.0,10000.0
2023-06-10,25841.21,25826.6,0.00014973,-0.0005653760021299538,-14.610000000000582,-0.0003667221722643513,-0.00031401207601696373,-0.0003549763981464856,-0.00021039960398346817,-1.784555920275679,1,-0.00019865382986560248,-0.0,0.0,-0.0,10000.0
2023-06-11,25925.55,25909.9,0.0001357199999999,-0.0006036516100911193,-15.649999999997817,-0.0005653760021299538,-0.00035228768397812924,-0.0005334032993693908,-7.024831072172848e-05,-2.0020792832483782,1,-3.827560796116551e-05,-0.0,0.0,-0.0,10000.0
2023-06-12,25905.19,25894.8,0.00015349,-0.00040107793071579166,-10.389999999999418,-0.0006036516100911193,-0.0001497140046028016,-0.0005677816857591921,0.00016670375504340045,-0.8508367469526125,1,0.00020257367937532764,0.0,0.0,0.0,10000.0
2023-06-13,25934.25,25918.0,0.00022683,-0.0006265845358936541,-16.25,-0.00040107793071579166,-0.00037522060978066406,-0.0003858340540185135,-0.00024075048187514062,-2.1324089477290067,1,-0.00022550660517786246,-0.0,0.0,-0.0,10000.0
2023-06-14,25128.6,25115.9,8.815e-05,-0.0005054002212617134,-12.69999999999709,-0.0006265845358936541,-0.00025403629514872335,-0.0005883795815545532,8.297936029283979e-05,-1.4437087268199946,1,0.00012118431463194071,0.0,0.0,0.0,10000.0
2023-06-15,25598.49,25586.1,9.615e-05,-0.00048401292419994517,-12.390000000003056,-0.0005054002212617134,-0.0002326489980869551,-0.00047953425120664456,-4.4786729933006075e-06,-1.3221629949666396,1,2.138729706176824e-05,0.0,0.0,0.0,10000.0
2023-06-16,26345.0,26336.0,4.988e-05,-0.0003416208009109888,-9.0,-0.00048401292419994517,-9.025687479799873e-05,-0.0004603246082672319,0.00011870380735624312,-0.5129370892654715,1,0.00014239212328895638,0.0,0.0,0.0,10000.0
2023-06-17,26516.99,26508.9,0.00027411,-0.0003050874175387231,-8.090000000000146,-0.0003416208009109888,-5.372349142573305e-05,-0.00033243084787918926,2.7343430340466155e-05,-0.3053149289599051,1,3.653338337226568e-05,0.0,0.0,0.0,10000.0
2023-06-18,26339.97,26329.7,0.00018644,-0.0003899017348918938,-10.270000000000437,-0.0003050874175387231,-0.00013853780877890376,-0.0002996172928084824,-9.028444208341143e-05,-0.7873215258927072,1,-8.481431735317071e-05,-0.0,0.0,-0.0,10000.0
2023-06-19,26844.35,26828.5,0.00017127,-0.000590440819017728,-15.849999999998545,-0.0003899017348918938,-0.00033907689290473795,-0.0003757958182106885,-0.0002146450008070395,-1.927001293508035,1,-0.0002005390841258342,-0.0,0.0,-0.0,10000.0
2023-06-20,28307.99,28290.6,1.305e-05,-0.0006143141918590142,-17.390000000003056,-0.000590440819017728,-0.0003629502657460241,-0.0005559160171459913,-5.839817471302289e-05,-2.0626755942586987,1,-2.3873372841286158e-05,-0.0,0.0,-0.0,10000.0
2023-06-21,29993.89,29988.5,0.00018846,-0.00017970326623186983,-5.389999999999418,-0.0006143141918590142,7.166065988112023e-05,-0.000577358603683042,0.00039765533745117216,0.40725330205073523,0,0.00043461092562714436,0.0,0.0,0.0,10000.0
2023-06-22,29884.92,29875.0,0.00029236,-0.00033193998846235006,-9.919999999998254,-0.00017970326623186983,-8.057606234936e-05,-0.00018699975306469177,-0.0001449402353976583,-0.45792025237362083,0,-0.00015223672223048024,-0.0,0.0,-0.0,10000.0
2023-06-23,30688.5,30673.4,0.0003,-0.0004920409925541667,-15.099999999998545,-0.00033193998846235006,-0.00024067706644117663,-0.0003237357355438301,-0.00016830525701033657,-1.367787154048757,0,-0.00016010100409181662,-0.0,0.0,-0.0,10000.0
2023-06-24,30527.43,30524.2,0.0003,-0.00010580648289094638,-3.2299999999995634,-0.0004920409925541667,0.0001455574432220437,-0.0004675352588759743,0.00036172877598502793,0.8272146738332969,0,0.0003862345096632203,0.0,0.0,0.0,10000.0
2023-06-25,30462.66,30458.0,0.0003,-0.00015297416574914518,-4.6599999999998545,-0.00010580648289094638,9.838976036384488e-05,-0.00012062713859870494,-3.234702715044024e-05,0.5591569330038102,0,-4.7167682858198796e-05,-0.0,0.0,-0.0,10000.0
2023-06-26,30267.99,30260.1,0.0003,-0.00026067142218571686,-7.890000000003056,-0.00015297416574914518,-9.307496072726799e-06,-0.00016299220901263512,-9.767921317308174e-05,-0.05289524985857531,0,-0.00010769725643657168,-0.0,0.0,-0.0,10000.0
2023-06-27,30692.44,30683.2,0.0003,-0.0003010513338137327,-9.239999999997963,-0.00026067142218571686,-4.968740770074266e-05,-0.00025972373313772523,-4.132760067600749e-05,-0.28237754006225385,0,-4.037991162801586e-05,-0.0,0.0,-0.0,10000.0
2023-06-28,30077.41,30066.3,0.000239,-0.00036938020926670823,-11.110000000000582,-0.0003010513338137327,-0.00011801628315371817,-0.00029599216304071783,-7.33880462259904e-05,-0.6706960428474769,0,-6.832887545297551e-05,-0.0,0.0,-0.0,10000.0
2023-06-29,30447.31,30439.9,0.00025874,-0.00024337125348675644,-7.4099999999998545,-0.00036938020926670823,7.992672626233615e-06,-0.00035736379387898786,0.00011399254039223141,0.04542300230899405,0,0.00012600895577995178,0.0,0.0,0.0,10000.0
2023-06-30,30472.0,30460.2,0.0003,-0.0003872407456024965,-11.799999999999272,-0.00024337125348675644,-0.00013587681948950642,-0.00024418506723998057,-0.0001430556783625159,-0.7721989094302509,0,-0.00014386949211574003,-0.0,0.0,-0.0,10000.0
