timestamp,spot_price,future_price,funding_rate,basis,spread,basis_lag,deviations,ou_forecast,residuals,ou_zscore,positions
2023-05-07,28430.1,28419.4,0.00014414,-0.00037636167301546917,-10.69999999999709,-0.0003605077613161811,-0.0001249977469024791,-0.00034939473838609803,-2.6966934629371142e-05,-0.7103722636574317,0
2023-05-08,27668.79,27659.8,5.029e-05,-0.00032491482280221144,-8.9900000000016,-0.00037636167301546917,-7.355089668922138e-05,-0.00036363440514046826,3.871958233825682e-05,-0.4179956700813127,0
2023-05-09,27628.27,27610.2,0.00012329,-0.0006540402276363923,-18.06999999999971,-0.00032491482280221144,-0.00040267630152340225,-0.00031742587209863943,-0.0003366143555377529,-2.288441855336422,0
2023-05-10,27598.75,27582.9,0.00012329,-0.0005743013723447093,-15.849999999998545,-0.0006540402276363923,-0.0003229374462317192,-0.0006130397353603084,3.87383630155991e-05,-1.8352795181048709,0
2023-05-11,26968.62,26956.4,0.00013729,-0.0004531192178167636,-12.219999999997526,-0.0005743013723447093,-0.00020175529170377352,-0.0005414198885827146,8.830067076595101e-05,-1.1465915732408494,0
2023-05-12,26795.01,26785.1,0.00010359,-0.0003698449823306599,-9.909999999999854,-0.0004531192178167636,-0.00011848105621766982,-0.000432576498397059,6.27315160663991e-05,-0.6733373856053101,0
2023-05-13,26775.28,26762.7,9.869e-05,-0.0004698363565198238,-12.579999999998108,-0.0003698449823306599,-0.00021847243040683375,-0.00035778124375966154,-0.00011205511276016227,-1.241596418981254,0
2023-05-14,26917.62,26901.9,8.291e-05,-0.0005840040835704466,-15.719999999997526,-0.0004698363565198238,-0.00033264015745745656,-0.00044759149840042423,-0.0001364125851700224,-1.890420807510822,0
2023-05-15,27162.14,27152.5,2.6410000000000003e-05,-0.00035490576221164523,-9.639999999999418,-0.0005840040835704466,-0.00010354183609865517,-0.0005501346699621637,0.0001952289077505185,-0.5884365943814436,0
2023-05-16,27033.84,27024.8,0.00017625,-0.00033439570553058217,-9.040000000000873,-0.00035490576221164523,-8.303177941759211e-05,-0.00034436313470872593,9.967429178143756e-06,-0.4718762902694338,0
2023-05-17,27405.61,27395.8,0.00019882,-0.00035795590756787786,-9.81000000000131,-0.00033439570553058217,-0.0001065919814548878,-0.0003259414115535063,-3.201449601437158e-05,-0.6057708161165092,0
2023-05-18,26821.28,26809.3,0.00028342,-0.0004466602637905262,-11.979999999999563,-0.00035795590756787786,-0.00019529633767753613,-0.00034710271433102777,-9.955754945949842e-05,-1.1098848172698221,0
2023-05-19,26880.26,26870.1,0.00011005,-0.0003779725344918485,-10.159999999999854,-0.0004466602637905262,-0.00012660860837885842,-0.0004267751949295023,4.880266043765381e-05,-0.7195269191753978,0
2023-05-20,27102.43,27089.5,6.919e-05,-0.0004770789925479114,-12.930000000000291,-0.0003779725344918485,-0.00022571506643492134,-0.00036508124873630614,-0.00011199774381160526,-1.2827569028908836,0
2023-05-21,26747.78,26732.8,0.00017109,-0.0005600464786236302,-14.979999999999563,-0.0004770789925479114,-0.00030868255251064017,-0.0004540966893854222,-0.00010594978923820803,-1.7542678089199097,0
2023-05-22,26849.27,26840.2,7.999e-05,-0.0003378117915310066,-9.069999999999709,-0.0005600464786236302,-8.644786541801651e-05,-0.0005286164278307385,0.0001908046362997319,-0.4912901821603269,0
2023-05-23,27219.61,27209.9,0.0003,-0.00035672810888911073,-9.709999999999127,-0.0003378117915310066,-0.00010536418277612067,-0.00032900967175155554,-2.7718437137555193e-05,-0.5987931373313716,0
2023-05-24,26329.01,26313.8,0.00016429,-0.0005776897802081859,-15.209999999999127,-0.00035672810888911073,-0.0003263258540951958,-0.0003459999300870683,-0.00023168985012111758,-1.8545361129141393,0
2023-05-25,26473.79,26461.8,0.0002582,-0.00045290077469080175,-11.9900000000016,-0.0005776897802081859,-0.00020153684857781169,-0.000544463288831119,9.156251414031724e-05,-1.1453501433613895,0
2023-05-26,26705.92,26689.9,0.00024536,-0.0005998669957820887,-16.0199999999968,-0.00045290077469080175,-0.0003485030696690987,-0.00043238029714543863,-0.0001674866986366501,-1.980571015296366,0
2023-05-27,26854.27,26841.6,0.00023072,-0.0004718057873106173,-12.670000000001892,-0.0005998669957820887,-0.00022044186119762725,-0.0005643824207969155,9.257663348629822e-05,-1.252788852794194,0
2023-05-28,28065.0,28055.7,0.0002988,-0.00033137359700692224,-9.299999999999272,-0.0004718057873106173,-8.000967089393218e-05,-0.0004493604017908698,0.00011798680478394754,-0.4547014041121206,0
2023-05-29,27736.4,27722.0,0.0003,-0.0005191733606380589,-14.400000000001455,-0.00033137359700692224,-0.0002678094345250688,-0.0003232270140540935,-0.00019594634658396537,-1.5219825872606723,0
2023-05-30,27694.4,27680.1,0.00019084,-0.0005163498757872678,-14.30000000000291,-0.0005191733606380589,-0.0002649859496742778,-0.0004919050098308055,-2.4444865956462338e-05,-1.5059364954345236,0
2023-05-31,27210.35,27201.1,0.00015073,-0.0003399441756537494,-9.25,-0.0005163498757872678,-8.858024954075936e-05,-0.0004893690121462037,0.00014942483649245424,-0.5034086928838987,0
2023-06-01,26817.93,26805.3,0.00021737,-0.00047095357471665483,-12.630000000001019,-0.0003399441756537494,-0.00021958964860366477,-0.0003309249365692303,-0.00014002863814742455,-1.247945659980784,0
2023-06-02,27242.59,27227.8,0.00023982,-0.0005428999225110708,-14.790000000000873,-0.00047095357471665483,-0.00029153599639808074,-0.00044859496146471684,-9.430496104635396e-05,-1.6568225494536655,0
2023-06-03,27069.22,27054.9,0.00022986,-0.0005290141348734728,-14.319999999999709,-0.0005428999225110708,-0.00027765020876048275,-0.0005132157336891834,-1.5798401184289376e-05,-1.5779084998709747,0
2023-06-04,27115.21,27102.4,0.0002485,-0.00047242857422080344,-12.809999999997672,-0.0005290141348734728,-0.00022106464810781338,-0.0005007437966472843,2.8315222426480828e-05,-1.2563282009674879,0
2023-06-05,25728.2,25714.7,0.0002739399999999,-0.0005247160703041798,-13.5,-0.00047242857422080344,-0.0002733521441911898,-0.000449919776551386,-7.479629375279387e-05,-1.5534822527337642,0
2023-06-06,27230.08,27221.5,-5.916e-05,-0.00031509272099096826,-8.580000000001746,-0.0005247160703041798,-6.37287948779782e-05,-0.0004968833609190946,0.0001817906399281263,-0.3621758743615533,0
2023-06-07,26339.34,26325.9,0.00024005,-0.0005102633551181878,-13.43999999999869,-0.00031509272099096826,-0.0002588994290051978,-0.0003086038564805078,-0.00020165949863768006,-1.4713463082300664,0
2023-06-08,26498.61,26485.9,0.00012605,-0.00047964780039402546,-12.709999999999127,-0.0005102633551181878,-0.0002282838742810354,-0.00048390222087946677,4.25442048544131e-06,-1.297355644786357,0
2023-06-09,26477.81,26468.1,0.00018908,-0.0003667221722643513,-9.710000000002765,-0.00047964780039402546,-0.00011535824615136126,-0.0004564039412724324,8.96817690080811e-05,-0.6555902044700649,0
2023-06-10,25841.21,25826.6,0.00014973,-0.0005653760021299538,-14.610000000000582,-0.0003667221722643513,-0.00031401207601696373,-0.0003549763981464856,-0.00021039960398346817,-1.784555920275679,0
